benchmark,threads,iter,ns_per_event,events_per_sec
EventBusFixture,1,168128,6931.38984588953,144271.2099930467
EventBusFixture,2,91410,8679.989656687818,115207.5105561345
EventBusFixture,4,78400,5954.6533802116455,167935.88747300973
EventBusFixture,8,69736,6417.291902645032,155828.97196679295
EventBusFixture/PublishMarketData,1,192813,6483.478245778501,154238.1977839004
